Date,Open,High,Low,Close,Volume,Change %,Return,MA5,MA20,Volatility,Signal,Position,Strategy_Return,Cumulative_Market,Cumulative_Strategy,PositionChange,Vol_Regime
2023-09-11,19971.5,20149.85,19971.5,20137.5,397.20K,0.0081,0.008142739494914952,19897.64,19603.392499999998,241.7282774336281,1,1.0,0.008142739494914952,1.1391309512698025,1.2759378267559949,0.0,High
2023-09-12,20200.0,20227.15,20073.0,20150.35,418.55K,0.0006,0.0006381129733084023,19977.93,19631.1125,257.09300527440496,1,1.0,0.0006381129733084023,1.1398578455081048,1.2767520192363828,0.0,High
2023-09-13,20101.3,20250.0,20101.3,20227.25,311.55K,0.0038,0.003816310882937657,20072.379999999997,19662.667500000003,262.58095661659746,1,1.0,0.003816310882937657,1.1442078974089192,1.2816245018622072,0.0,High
2023-09-14,20260.0,20300.0,20202.35,20272.75,392.15K,0.0022,0.002249440729708674,20152.539999999997,19700.805,240.437514173906,1,1.0,0.002249440729708674,1.146781725256605,1.2845074402168886,0.0,High
2023-09-15,20324.0,20370.0,20294.25,20352.35,419.80K,0.0039,0.0039264529972500295,20228.04,19746.4875,239.43620473685638,1,1.0,0.0039264529972500295,1.1512845097989304,1.2895509983055182,0.0,High
2023-09-18,20319.75,20336.0,20272.0,20286.45,297.60K,-0.0032,-0.0032379553221125734,20257.829999999998,19785.4225,224.45708702681847,1,1.0,-0.0032379553221125734,1.1475567019931612,1.2853754897874192,0.0,Medium
2023-09-20,20185.55,20210.0,20051.0,20087.75,919.15K,-0.0098,-0.009794715191667414,20245.309999999998,19815.3525,192.61786175368883,1,1.0,-0.009794715191667414,1.136316710930849,1.2727856029506015,0.0,Medium
2023-09-21,19994.05,20039.25,19871.6,19897.1,1.46M,-0.0095,-0.009490858856766038,20179.28,19833.219999999998,166.911996439595,1,1.0,-0.009490858856766038,1.1255320894108196,1.2607057744380734,0.0,Medium
2023-09-22,19897.0,19941.35,19807.0,19822.65,1.32M,-0.0037,-0.0037417513104923694,20089.26,19848.8275,175.73861271756985,1,1.0,-0.0037417513104923694,1.1213206282402655,1.2559885269544244,0.0,Medium
2023-09-25,19828.1,19884.7,19755.0,19820.35,2.52M,-0.0001,-0.00011602888614803408,19982.86,19871.597499999996,195.66672771125474,1,1.0,-0.00011602888614803408,1.121190522656756,1.2558427960046272,0.0,Medium
2023-09-26,19839.95,19842.8,19761.0,19793.55,2.60M,-0.0014,-0.0013521456482856742,19884.28,19890.2125,218.3253083128458,-1,1.0,-0.0013521456482856742,1.1196745097706466,1.2541447136330786,0.0,Medium
2023-09-27,19749.8,19852.0,19661.2,19828.9,4.44M,0.0018,0.001785935317313081,19832.510000000002,19909.8375,228.767664527211,-1,-1.0,-0.001785935317313081,1.1216741760215412,1.2519048922959797,-2.0,Medium
2023-09-28,19860.7,19860.7,19610.1,19637.1,9.22M,-0.0097,-0.009672750379496775,19780.51,19919.4275,249.9251926408618,-1,-1.0,0.009672750379496775,1.110824501709757,1.2640142558180296,0.0,High
2023-09-29,19800.0,19903.0,19760.0,19826.6,294.10K,0.0097,0.009650101084172302,19781.3,19940.045000000002,230.9386019893534,-1,-1.0,-0.009650101084172302,1.1215440704380315,1.2518163904775508,0.0,Medium
2023-10-03,19770.0,19770.0,19666.0,19695.05,284.95K,-0.0066,-0.0066350256725812295,19756.239999999998,19944.4925,188.72451409961164,-1,-1.0,0.0066350256725812295,1.1141025967377438,1.260122224365727,0.0,Medium
2023-10-04,19601.0,19638.0,19490.0,19590.05,317.35K,-0.0053,-0.005331288826380232,19715.539999999997,19938.8225,139.98802488437317,-1,-1.0,0.005331288826380232,1.1081629940123148,1.2668402999003614,0.0,Low
2023-10-05,19638.0,19730.0,19631.6,19689.15,273.50K,0.0051,0.005058690508702224,19687.59,19935.835,99.94306156744929,-1,-1.0,-0.005058690508702224,1.1137688476322198,1.260431746899214,0.0,Low
2023-10-06,19737.95,19804.25,19725.8,19792.15,366.20K,0.0052,0.0052313075983472235,19718.6,19937.692499999997,88.84680776437725,-1,-1.0,-0.0052313075983472235,1.1195953150676408,1.253838040724462,0.0,Low
2023-10-09,19699.95,19744.9,19627.8,19655.65,347.15K,-0.0069,-0.006896673681232257,19684.41,19926.8775,89.27496056148509,-1,-1.0,0.006896673681232257,1.1118738315245829,1.2624853525404545,0.0,Low
